,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
72,231748,0.716,0.763,0,-3.001,0,0.0945,0.147,0,0.271,0.575,90.101,231748,4
73,211926,0.68,0.846,0,-4.217,1,0.0498,0.103,0,0.115,0.659,124.984,211927,4
74,264215,0.672,0.46,1,-6.213,1,0.0292,0.521,0,0.144,0.204,141.822,264216,4
75,233098,0.608,0.706,7,-7.275,1,0.0853,0.0595,0,0.056,0.357,124.985,233099,4
76,279655,0.614,0.666,1,-3.087,0,0.0541,0.455,0,0.23,0.299,143.858,279656,4
77,182956,0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032,182956,4
78,186964,0.693,0.734,4,-6.189,1,0.202,0.0145,0,0.217,0.708,180.06,186964,4
79,175889,0.818,0.69,0,-5.119,1,0.0454,0.00327,0,0.186,0.688,110.071,175889,3
80,179172,0.915,0.621,7,-6.519,1,0.1,0.0745,0,0.628,0.527,131.984,179173,4
81,213264,0.786,0.852,8,-2.687,1,0.0813,0.0687,0,0.0759,0.455,125.036,213264,4
82,162000,0.715,0.738,2,-4.42,1,0.0577,0.00199,0,0.208,0.36,160.07,162000,4
83,194765,0.654,0.707,6,-5.661,1,0.0664,0.00559,0,0.0873,0.448,127.97,194765,4
84,191050,0.763,0.835,2,-5.234,0,0.191,0.323,0.00221,0.225,0.645,131.875,191050,4
85,201122,0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,201122,4
86,211350,0.668,0.828,4,-5.034,0,0.0739,0.036,0,0.0932,0.393,140.042,211350,4
87,236829,0.633,0.736,7,-5.775,1,0.131,0.65,0,0.128,0.477,168.05,236829,4
88,219917,0.506,0.929,6,-2.265,1,0.0914,0.198,0,0.381,0.516,77.462,219918,4
89,239571,0.409,0.743,1,-4.536,1,0.0496,0.225,0,0.276,0.441,167.864,239572,4
90,226560,0.674,0.749,0,-4.174,1,0.0345,0.345,0,0.289,0.65,98.006,226561,4
91,259306,0.634,0.832,2,-3.44,1,0.0355,0.237,0,0.085,0.636,79.996,259307,4
92,221466,0.613,0.906,11,-2.803,1,0.188,0.0923,0,0.0715,0.638,179.952,221467,4
93,217887,0.741,0.959,9,-1.414,1,0.0571,0.004,1.23E-05,0.355,0.41,110.016,217887,4
94,253186,0.581,0.777,10,-4.74,1,0.0457,0.543,0,0.359,0.532,75.995,253187,4
95,248133,0.529,0.646,1,-5.229,1,0.0702,0.162,0,0.363,0.408,135.881,248133,4
96,223066,0.696,0.909,5,-3.547,0,0.0695,0.311,0,0.466,0.645,117.01,223066,4
97,199053,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054,4
98,242333,0.557,0.719,2,-4.515,0,0.0371,0.00267,0,0.306,0.345,77.502,242334,4
99,229953,0.617,0.589,7,-5.978,1,0.0345,0.0268,0,0.378,0.566,92.991,229953,4
100,164952,0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0788,0.695,109.997,164952,4
101,204939,0.724,0.818,8,-3.747,1,0.168,0.0201,0,0.0358,0.696,77.004,204940,4
