,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1679,197476,0.781,0.662,0,-3.825,1,0.0336,0.355,0,0.161,0.686,91.999,197477,4
1680,174369,0.913,0.584,9,-5.263,1,0.223,0.521,0.0000536,0.307,0.627,119.873,174370,4
1681,165275,0.85,0.546,2,-4.534,1,0.0654,0.161,0.00000613,0.296,0.906,92.002,165275,4
1682,167419,0.771,0.656,5,-4.078,0,0.065,0.0863,0,0.115,0.609,93.069,167419,4
1683,199720,0.475,0.717,0,-6.712,1,0.102,0.194,0,0.101,0.646,83.869,199720,4
1684,167674,0.766,0.638,11,-2.737,0,0.0902,0.406,0,0.2,0.681,92.077,167674,4
1685,156318,0.688,0.712,10,-4.791,0,0.0826,0.0288,0,0.313,0.852,89.93,156319,4
1686,173021,0.683,0.511,7,-7.894,0,0.0641,0.448,0,0.175,0.256,95.087,173021,4
1687,160212,0.722,0.656,1,-4.947,1,0.0584,0.14,0,0.321,0.765,94.001,160213,4
1688,201526,0.792,0.895,1,-3.112,0,0.0587,0.165,0,0.0501,0.793,94.968,201526,4
1689,151680,0.566,0.704,11,-8.003,0,0.0752,0.0461,0.0000325,0.731,0.429,124.933,151680,4
1690,166081,0.838,0.729,9,-3.294,1,0.034,0.292,0.00000128,0.0837,0.907,130.068,166081,4
1691,218800,0.704,0.604,5,-5.254,1,0.0556,0.067,0,0.126,0.642,90.028,218801,4
1692,211791,0.587,0.509,5,-6.154,0,0.0527,0.268,0,0.11,0.216,166.981,211792,4
1693,198053,0.648,0.752,7,-4.13,1,0.133,0.315,0,0.201,0.405,178.24,198053,4
1694,232655,0.46,0.463,2,-6.798,1,0.0769,0.645,0,0.13,0.17,79.719,232656,4
1695,123428,0.656,0.861,1,-2.695,0,0.0523,0.208,0.00000284,0.119,0.695,105.057,123429,4
1696,149589,0.792,0.718,5,-5.032,0,0.0503,0.0917,0.0243,0.0774,0.522,132.06,149589,4
1697,173933,0.466,0.935,5,-4.775,1,0.0885,0.0116,0.000356,0.119,0.312,147.967,173933,4
1698,168668,0.582,0.585,2,-7.679,1,0.0675,0.0991,0,0.148,0.102,129.91,168668,4
1699,194760,0.725,0.569,6,-7.518,0,0.118,0.408,0.00172,0.0893,0.42,135.98,194760,4
1700,161247,0.649,0.478,0,-8.834,1,0.156,0.658,0,0.131,0.468,139.859,161247,4
1701,162760,0.513,0.741,9,-4.066,0,0.0442,0.172,0,0.0894,0.295,78.022,162760,4
1702,183428,0.442,0.579,5,-6.484,1,0.145,0.489,0.00000104,0.126,0.546,83.336,183428,4
1703,133226,0.587,0.873,2,-4.395,1,0.0693,0.11,0.00339,0.236,0.52,169.971,133227,4
